cluster,framing (verbatim hook),advertiser,longest_run_days,total_span_days,relaunch,variants,countries,eu_reach,price,LP type,lp_h1,domain
C4,[New] From Survival to Inner Safety: A New Way to Recover After Trauma,MentorShow World,61,61,False,1,AUDEDKGBNLUS,191094,gated,application_form,Offrez-vous  15 minutes,mentorshow.com
C4,"If you came to skating as an adult, you know the feeling: you drill the same moves for months and still can't tell if you're actually improving.",Digital Skating School,60,60,False,1,DKNL,1326,gated,application_form,Start – Digital Skating School,digitalskatingschool.com/start
C4,The router is visible through the door.,Charlotte Johnson,55,55,False,1,AUGBUS,,gated,unknown,SPIRAD - Sacred Jewelry & Energy-Infused Wellness,sanctuary.spirad.com
C4,Most parents struggle with losing their temper and snapping at their kids because they try to correct behavior while their own nervous system is completely dysregulated…,Fresh Start Family,50,50,False,1,AUGBUS,,,,,
C4,"Sometimes stress doesn’t just live in the mind. It lives in the body, in the breath, and in the voice.",Amy Thiessen,50,50,False,1,GBUS,2321,,,,fb.me
C4,You don’t consciously choose emotionally unavailable men.,Ben Schwarcz - Transformational Coaching,47,47,False,1,DEDKNL,16359,gated,application_form,FREE ONLINE MASTERCLASS,www.ecstaticsomatic.com
C4,"Before Bessel van der Kolk wrote the final chapter of his career, he said something I haven't been able to stop thinking about.",Rachel Morrison,47,47,False,1,AUGB,,$60,direct_checkout,"@media screen and (max-width: 749px) {
                        .header__heading-logo--main-desktop {
                            display: none !important;
                        }
                        .header__headin",heldhonest.com
C4,I don’t guess your stress levels…,Elonga US,46,46,False,1,DEDKGBNL,2136,$99,optin,The only 3-minute morning wearable,www.elonga.com
C4,🌙 From Hobby to Paid Astrologer in 4 Steps 🌙,Flowers For Dais,46,46,False,1,DEDKNL,2180,€11,optin,Flowers For Dais,flowersfordaisastrology.com
C5,Newt isn’t just another bottle — it’s designed to feel better every time you use it.,SHO,152,152,False,1,GB,,£10,direct_checkout,"SHO - Reusable Water Bottles, Coffee Cups & Flasks",shoreusable.com
C5,"Have you noticed you've started relying on that evening glass of wine more and more to switch off at the end of the day, but it's now negatively impacting your sleep, energy, mood and health? Need new ideas of what to do to help unwind without wine?",Sarah Rusbatch,123,123,False,3,AUGBUS,,gated,application_form,"Access all of Sarah Rusbatch's  Programs, Tools & Resources.  Everything you need to feel better, drink less, and thrive in midlife.",programs.sarahrusbatch.com
C5,"You know that voice in your head that says ""I'll cut back tomorrow""?",Just the Tonic,84,84,False,1,AUGBUS,,£17,unknown,"""The Alcohol Freedom System""",https://go.justthetoniccoach.com/alcohol-freedom-method
C5,Tired of feeling held back by your drinking habits?,Mindful Drinking Community,68,68,False,1,AUDEDKGBNLUS,504159,$1,application_form,Therapy & Recovery Support for Life Challenges - Calmio.ai,calmio.ai
C5,Tired of feeling held back by your drinking habits?,Dr. Alex Morgan,66,66,False,1,DEDKNL,49247,$1,application_form,Therapy & Recovery Support for Life Challenges - Calmio.ai,calmio.ai
C5,"£6 organic wine & kids eat free. Saturdays just became your favourite day. 12–4:30 at Battersea, Islington & Canary Wharf.",Humble Grape,66,66,False,3,GB,,£45,application_form,Humble Grape London Wine Bar & Tasting Experiences,humblegrape.co.uk
